       table_name        |       column_name        |   foreign_table_name   | foreign_column_name |             constraint_name
 stock_snapshots         | warehouse_id             | warehouses             | id                  | stock_snapshots_warehouse_id_fkey
 stocks_lot              | item_id                  | items                  | id                  | fk_stocks_lot_item
 stocks_lot              | lot_id                   | lots                   | item_id             | fk_stocks_lot_lot_dims
 stocks_lot              | lot_id                   | lots                   | warehouse_id        | fk_stocks_lot_lot_dims
 stocks_lot              | lot_id                   | lots                   | id                  | fk_stocks_lot_lot_dims
 stocks_lot              | warehouse_id             | lots                   | id                  | fk_stocks_lot_lot_dims
 stocks_lot              | warehouse_id             | lots                   | item_id             | fk_stocks_lot_lot_dims
 stocks_lot              | warehouse_id             | lots                   | warehouse_id        | fk_stocks_lot_lot_dims
 stocks_lot              | item_id                  | lots                   | id                  | fk_stocks_lot_lot_dims
 stocks_lot              | item_id                  | lots                   | warehouse_id        | fk_stocks_lot_lot_dims
 stocks_lot              | item_id                  | lots                   | item_id             | fk_stocks_lot_lot_dims
 stocks_lot              | warehouse_id             | warehouses             | id                  | fk_stocks_lot_warehouse
(75 rows)
